max_similarity,mean_similarity,min_similarity,num_similar_targets,std_similarity,target_id,year
0.9999999999999997,0.9999999999999997,0.9999999999999997,1,0.0,1996_tardes133862,1996
0.9999999999999997,0.9999999999999997,0.9999999999999997,1,0.0,1996_tardes133881,1996
0.9999999999999998,0.6552397342956344,0.31047946859126907,2,0.34476026570436535,1996_tardes134406,1996
0.9999999999999998,0.6552397342956344,0.31047946859126907,2,0.34476026570436535,1996_tardes134475,1996
0.31047946859126907,0.31047946859126907,0.31047946859126907,2,0.0,1996_tardes134830,1996
0.9313793448936892,0.9313793448936892,0.9313793448936892,1,0.0,1997_tardes107121,1997
0.3506121461273778,0.20564720949130913,0.09530837417666503,11,0.07431709286744212,1997_tardes107123,1997
0.31245914043335365,0.20522768370344124,0.07411466802887849,7,0.07559660598192247,1997_tardes108366,1997
1.0,0.6407314034453708,0.28146280689074166,2,0.35926859655462917,1997_tardes112475,1997
0.813734904739603,0.15733829226269883,0.036522003260202746,13,0.21366043867476525,1997_tardes112519,1997
1.0,0.3670183013622703,0.033748255888919984,3,0.44779527653554657,1997_tardes133998,1997
0.5122380296038612,0.14000223649839247,0.04140596813669275,11,0.1364243066934884,1997_tardes137216,1997
0.7426945260171212,0.2488360839997198,0.06293710965350262,17,0.175747029314873,1997_tardes137319,1997
0.9313793448936892,0.3185191658845122,0.07946500539038798,4,0.3550579382040352,1997_tardes139100,1997
0.5122380296038612,0.2565979096647525,0.1095768286966341,5,0.14655826678957026,1997_tardes139990,1997
1.0,0.3670183013622703,0.033748255888919984,3,0.44779527653554657,1997_tardes140840,1997
0.5704803009453442,0.1687819012596972,0.07639529385373472,10,0.13979885927005392,1997_tardes146994,1997
0.3506121461273778,0.24627634165508777,0.1694125419872557,5,0.07191709704819108,1997_tardes151821,1997
0.5704803009453442,0.2569519635801805,0.10285335492884731,4,0.18447213077843147,1997_tardes155119,1997
0.6951954325672691,0.2468260074787192,0.04140596813669275,17,0.21418705856032264,1997_tardes1907200049,1997
0.3210518678682501,0.1271146956417664,0.026835757693065166,19,0.07878881504604845,1997_tardes1943009082,1997
0.6951954325672691,0.2154137924676907,0.036522003260202746,14,0.20022088884562678,1997_tardes31195,1997
