target_id,mean_similarity,max_similarity,min_similarity,std_similarity,num_similar_targets
tarov1000000240,0.06790796669597171,1.0000000000000002,0.0009929655248329973,0.04959330732876296,19386
tarov1000000402,0.11413351309373422,0.6964388865916085,0.0,0.1339965884792308,19386
tarov1000000508,0.08862582039072694,0.5174780013659435,0.0,0.09015715077217303,19386
tarov1000000551,0.11059866226466354,0.4903480961377919,0.0,0.0919995482246535,19386
tarov1000000617,0.04385746309724257,0.48134023935329223,0.0,0.033660500815673865,19386
tarov1000000648,0.050777663362921,0.5620705934944987,0.0,0.03256714287289674,19386
tarov1000000694,0.07029645654515058,1.0,0.0,0.04580470676981916,19386
tarov1000000879,0.023570790083259612,0.7314442375384688,0.0,0.026642491962556573,19386
tarov1000001757,0.09704947572509103,0.4616036172693708,0.0,0.0890360711064336,19386
tarov1000001764,0.09944244739896399,0.46629608971036285,0.0,0.08873805332034324,19386
tarov1000001839,0.09057025963173473,0.42339581585818,0.0,0.06448457734314325,19386
tarov1000001842,0.06880348407032867,0.37124418694510386,0.0,0.04667598632136502,19386
tarov1000002975,0.03291731558997688,0.6031953563199259,0.0,0.034820652644996716,19386
tarov1000003741,0.054391460123627375,0.6915571229602357,0.0,0.05062584188846447,19386
tarov1000003845,0.07308568528089733,1.0,0.0,0.0573080243705027,19386
tarov1000003849,0.05371653062942161,0.44628047990542935,0.0,0.043203065024925325,19386
tarov1000003963,0.042032364104749816,1.0,0.0,0.044099100413191296,19386
tarov1000004070,0.028997242734409012,0.4506647174908529,0.0,0.025133690844639664,19386
tarov1000004121,0.06876554434580949,1.0,0.0,0.08365402408511446,19386
tarov1000004329,0.052561653161618906,0.8332955122764097,0.0,0.03852890933331067,19386
tarov1000004685,0.0541651181644803,1.0000000000000002,0.0,0.04283609880868818,19386
tarov1000005159,0.05517905939393744,0.52519658673978,0.0,0.0461126638616914,19386
tarov1000005238,0.03499217751951295,0.4032596199263953,0.0,0.029208896655868184,19386
tarov1000005314,0.08143417768997127,0.35350291841830883,0.0,0.06006710437538103,19386
tarov1000005434,0.03654989695481595,0.6514213658865513,0.0,0.04832340719785102,19386
tarov1000005557,0.10234032242647394,0.5102171162383993,0.0,0.1012008403715323,19386
tarov1000005559,0.0975923890905203,0.46702510759960164,0.0,0.09373110781832408,19386
tarov1000005833,0.04834202727080879,1.0000000000000002,0.0,0.04773178661141656,19386
tarov1000006627,0.04309157096444267,1.0000000000000002,0.0,0.03636636202748444,19386
tarov1000006729,0.03441674221956643,0.9809113634588345,0.0,0.04234599301676854,19386
tarov1000006730,0.03382072062164716,0.9886923951017856,0.0,0.04249586679167053,19386
tarov1000006914,0.05091016138477573,1.0,0.0,0.035963050743958926,19386
tarov1000007315,0.08416008938716021,1.0000000000000002,0.0,0.06337554871056224,19386
tarov1000007818,0.12400697700504307,0.704595842237802,0.0,0.14155122063655465,19386
tarov1000008154,0.07329384273486016,0.4614778498209891,0.0,0.06292885237340172,19386
tarov1000008160,0.040950525891626635,0.9535158736032815,0.0,0.03330758332441314,19386
tarov1000008399,0.12492771425614592,1.0,0.0,0.16678184895311451,19386
tarov1000008464,0.04485447619203684,0.32848847976784573,0.0,0.03040331689446658,19386
tarov1000008733,0.055643715157571744,0.4342231538453257,0.0,0.03937027041666738,19386
tarov1000008892,0.06313806074440007,0.4631259760322949,0.0,0.04830983961531466,19386
tarov1000009256,0.12492771425614592,1.0,0.0,0.16678184895311451,19386
tarov1000009258,0.12492771425614592,1.0,0.0,0.16678184895311451,19386
tarov1000009386,0.04463192908987255,0.3964482510177155,0.0,0.03799477574259145,19386
tarov1000009442,0.04476178236185863,0.5588811946293557,0.0,0.0333024483503667,19386
tarov1000010073,0.10418538700173564,0.6298527431971473,0.0,0.11698456768370487,19386
tarov1000010598,0.04406365016535801,0.8854257988321922,0.0,0.04510676291304843,19386
tarov1000010802,0.03736396522716121,1.0000000000000002,0.0,0.033200781526777016,19386
tarov1000011087,0.047615342535576616,0.9999999999999998,0.0,0.03774875972926029,19386
tarov1000011191,0.09832662788194872,0.3894919613909956,0.0,0.07547092205868657,19386
tarov1000011247,0.04770644050212056,0.3544454314457818,0.0,0.03291534560906542,19386
tarov1000011347,0.043189949984876706,0.4511811656389167,0.0,0.04034343147816663,19386
tarov1000011381,0.08146156980701998,0.3200470929085163,0.0,0.05308397124954176,19386
tarov1000011439,0.06846182480904331,1.0,0.0,0.047903761845061586,19386
tarov1000011462,0.08650726905398051,0.3531351476393037,0.0006658088048047329,0.06874298314698177,19386
tarov1000011500,0.0883754831803422,1.0,0.0,0.06790783599314508,19386
tarov1000011852,0.07423780687358578,0.3476833589255369,0.0,0.045833325673697536,19386
tarov1000012037,0.05409656935695359,0.5735316184273581,0.0,0.05492460966446352,19386
tarov1000012058,0.05581980749420085,1.0,0.0,0.03390002790318377,19386
tarov1000012168,0.029741694820609604,0.870299054803543,0.0,0.040864293919670204,19386
tarov100011,0.06773245156897136,0.3355005481883673,0.0,0.04044763811186417,19386
tarov100045,0.04793879501064273,1.0000000000000002,0.0,0.035932042601577854,19386
tarov100248,0.051871305925149394,0.5068178558349558,0.0,0.04912273321134227,19386
tarov100274,0.10267815593655451,0.5378534756493533,0.0,0.10875914308002148,19386
tarov100397,0.08667381901412387,0.43264175655666726,0.0,0.06704703997678046,19386
tarov100412,0.08178889809175856,1.0,0.0,0.07206148156399902,19386
tarov100474,0.0630686748930494,0.3567338168305905,0.0,0.04131808350102159,19386
tarov100526,0.06908207426052367,0.4695477912778341,0.0,0.06871848956594814,19386
tarov100592,0.04793879501064273,1.0000000000000002,0.0,0.035932042601577854,19386
tarov100616,0.03854297024291525,1.0,0.0,0.0382144634058521,19386
tarov100648,0.1163814650313434,0.5523787725165145,0.0,0.1106374926869426,19386
tarov100688,0.08633499597532195,0.3011995777094385,0.0012925813892264832,0.04781837869799637,19386
tarov100700,0.031436866869203516,0.35376367574215556,0.0,0.027642993600163788,19386
tarov100710,0.07591750901760305,0.9857406085015387,0.0,0.09515595058040406,19386
tarov100746,0.06371090463530184,1.0000000000000002,0.0,0.05982098905864386,19386
tarov100749,0.06371090463530184,1.0000000000000002,0.0,0.05982098905864386,19386
tarov100812,0.11549012801049853,0.7747057312032535,0.0,0.1580213568718005,19386
tarov100820,0.07018649977602359,0.36160054028956146,0.0,0.05852423300726636,19386
tarov100836,0.05486079320973542,0.37923272547509324,0.0,0.03656504546954004,19386
tarov100884,0.1170238668965922,0.6609495247217901,0.0,0.13285938308921383,19386
tarov100999,0.04226063173942888,0.8988821676983088,0.0,0.046088836212246465,19386
tarov101113,0.04383022448341152,0.8962733586618107,0.0,0.04423924008291896,19386
tarov101199,0.035833769188706247,0.9690799377814401,0.0,0.09350522703797638,19386
tarov101204,0.12668419681958784,0.7577168687846608,0.0,0.1557765332604668,19386
tarov101223,0.0980939074240876,1.0000000000000004,0.0,0.0894966597229172,19386
tarov101234,0.0752433056052909,0.3392737039977398,0.0,0.057493573349007766,19386
tarov101426,0.1161465426818651,0.6425776932308502,0.0,0.13470794277346454,19386
tarov101519,0.04084611928395054,0.35909748437030625,0.0,0.030357823536096572,19386
tarov101541,0.05866117788592524,0.289853118331766,0.0,0.031358764010768654,19386
tarov101683,0.05033331021431438,0.28454929297797593,0.0,0.03271446343269683,19386
tarov101686,0.1345834660912405,0.8730758243810425,0.0,0.17729139443436098,19386
tarov101709,0.05853417207317706,0.39241472941582045,0.0,0.035835657285483574,19386
tarov101807,0.021790456829522877,1.0000000000000002,0.0,0.026502283870090668,19386
tarov101930,0.032719548931935925,1.0000000000000002,0.0,0.026062387024279897,19386
tarov101944,0.05426513096053199,1.0,0.0,0.04277093918182091,19386
tarov101951,0.10648984415752527,1.0000000000000002,0.0,0.11803556817177711,19386
